#AssemblyAccession	AssemblyName	Organism	AssemblyStatus	BioprojectAccession	BioSample	ContigN50	ScaffoldN50	FtpPath
GCF_024199925.1	ASM2419992v1	Bradyrhizobium sp. CCGUVB1N3 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN28667583	9882385	9882385	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/925/GCF_024199925.1_ASM2419992v1
GCF_024199885.1	ASM2419988v1	Bradyrhizobium sp. CCGUVB23 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN28667584	10227124	10227124	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/885/GCF_024199885.1_ASM2419988v1
GCF_024199855.1	ASM2419985v1	Bradyrhizobium sp. CCGB20 (a-proteobacteria)	Contig	PRJNA224116	SAMN28667587	9227337	9227337	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/855/GCF_024199855.1_ASM2419985v1
GCF_024199845.1	ASM2419984v1	Bradyrhizobium sp. CCGB12 (a-proteobacteria)	Contig	PRJNA224116	SAMN28667586	8985519	8985519	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/845/GCF_024199845.1_ASM2419984v1
GCF_024199795.1	ASM2419979v1	Bradyrhizobium sp. CCGB01 (a-proteobacteria)	Contig	PRJNA224116	SAMN28667590	9317328	9317328	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/795/GCF_024199795.1_ASM2419979v1
GCF_024199785.1	ASM2419978v1	Bradyrhizobium cajani (a-proteobacteria)	Contig	PRJNA224116	SAMN28667589	117907	117907	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/199/785/GCF_024199785.1_ASM2419978v1
GCF_024181725.1	ASM2418172v1	Bradyrhizobium sp. WD16 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN08924524	5945179	5945179	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/181/725/GCF_024181725.1_ASM2418172v1
GCF_024171445.1	ASM2417144v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243430	10536046	10536046	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/445/GCF_024171445.1_ASM2417144v1
GCF_024171385.1	ASM2417138v1	Bradyrhizobium sp. USDA 4539 (a-proteobacteria)	Contig	PRJNA224116	SAMN18251554	8937411	8937411	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/385/GCF_024171385.1_ASM2417138v1
GCF_024171365.1	ASM2417136v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18243030	9420529	9420529	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/365/GCF_024171365.1_ASM2417136v1
GCF_024171345.1	ASM2417134v1	Bradyrhizobium sp. USDA 4537 (a-proteobacteria)	Contig	PRJNA224116	SAMN18251553	8935814	8935814	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/345/GCF_024171345.1_ASM2417134v1
GCF_024171305.1	ASM2417130v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242981	10639458	10639458	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/305/GCF_024171305.1_ASM2417130v1
GCF_024171315.1	ASM2417131v1	Bradyrhizobium sp. USDA 4532 (a-proteobacteria)	Contig	PRJNA224116	SAMN18251486	8759150	8759150	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/315/GCF_024171315.1_ASM2417131v1
GCF_024171265.1	ASM2417126v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243585	9555069	9555069	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/265/GCF_024171265.1_ASM2417126v1
GCF_024171245.1	ASM2417124v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18242783	9295246	9295246	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/245/GCF_024171245.1_ASM2417124v1
GCF_024171225.1	ASM2417122v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18242738	9128845	9128845	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/225/GCF_024171225.1_ASM2417122v1
GCF_024171205.1	ASM2417120v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243360	9632077	9632077	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/205/GCF_024171205.1_ASM2417120v1
GCF_024171165.1	ASM2417116v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18243359	9774418	9774418	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/165/GCF_024171165.1_ASM2417116v1
GCF_024171145.1	ASM2417114v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243082	10003120	10003120	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/145/GCF_024171145.1_ASM2417114v1
GCF_024171085.1	ASM2417108v1	Bradyrhizobium sp. USDA 4541 (a-proteobacteria)	Contig	PRJNA224116	SAMN18250929	9153973	9153973	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/085/GCF_024171085.1_ASM2417108v1
GCF_024171065.1	ASM2417106v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243361	5815030	5815030	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/065/GCF_024171065.1_ASM2417106v1
GCF_024171045.1	ASM2417104v1	Bradyrhizobium sp. USDA 4538 (a-proteobacteria)	Contig	PRJNA224116	SAMN18252188	8937384	8937384	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/045/GCF_024171045.1_ASM2417104v1
GCF_024171025.1	ASM2417102v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242786	9529975	9529975	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/025/GCF_024171025.1_ASM2417102v1
GCF_024171005.1	ASM2417100v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18242913	9489521	9489521	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/171/005/GCF_024171005.1_ASM2417100v1
GCF_024170985.1	ASM2417098v1	Bradyrhizobium sp. USDA 4545 (a-proteobacteria)	Contig	PRJNA224116	SAMN18251184	8816367	8816367	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/985/GCF_024170985.1_ASM2417098v1
GCF_024170955.1	ASM2417095v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242912	10565768	10565768	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/955/GCF_024170955.1_ASM2417095v1
GCF_024170945.1	ASM2417094v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243583	9526854	9526854	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/945/GCF_024170945.1_ASM2417094v1
GCF_024170925.1	ASM2417092v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18243433	9528829	9528829	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/925/GCF_024170925.1_ASM2417092v1
GCF_024170905.1	ASM2417090v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242910	5528518	5528518	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/905/GCF_024170905.1_ASM2417090v1
GCF_024170885.1	ASM2417088v1	Bradyrhizobium elkanii (a-proteobacteria)	Contig	PRJNA224116	SAMN18242979	9110860	9110860	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/885/GCF_024170885.1_ASM2417088v1
GCF_024170825.1	ASM2417082v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242735	10561186	10561186	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/825/GCF_024170825.1_ASM2417082v1
GCF_024170805.1	ASM2417080v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN18242911	9525137	9525137	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/170/805/GCF_024170805.1_ASM2417080v1
GCF_023572055.1	ASM2357205v1	Bradyrhizobium denitrificans (a-proteobacteria)	Contig	PRJNA224116	SAMN28596977	154070	154070	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/572/055/GCF_023572055.1_ASM2357205v1
GCF_023511065.1	ASM2351106v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN25867703	621423	621423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/511/065/GCF_023511065.1_ASM2351106v1
GCF_023511055.1	ASM2351105v1	Bradyrhizobium japonicum (a-proteobacteria)	Contig	PRJNA224116	SAMN25867783	621423	621423	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/511/055/GCF_023511055.1_ASM2351105v1
GCF_023375135.1	ASM2337513v1	Bradyrhizobium sp. C-145 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN23371896	9529571	9529571	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/375/135/GCF_023375135.1_ASM2337513v1
GCF_023278185.1	ASM2327818v1	Bradyrhizobium elkanii USDA 76 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN17108307	9115474	9115474	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/278/185/GCF_023278185.1_ASM2327818v1
GCF_023278165.1	ASM2327816v1	Bradyrhizobium diazoefficiens (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN17108306	9137248	9137248	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/278/165/GCF_023278165.1_ASM2327816v1
GCF_023278145.1	ASM2327814v1	Bradyrhizobium japonicum (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN17108304	9745549	9745549	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/278/145/GCF_023278145.1_ASM2327814v1
GCF_023277985.1	ASM2327798v1	Bradyrhizobium japonicum (a-proteobacteria)	Chromosome	PRJNA224116	SAMN17108305	9863868	9863878	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/277/985/GCF_023277985.1_ASM2327798v1
GCF_017565685.3	ASM1756568v3	Bradyrhizobium barranii subsp. apii (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN18312895	9953276	9953276	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/017/565/685/GCF_017565685.3_ASM1756568v3
GCF_011516635.5	ASM1151663v5	Bradyrhizobium barranii subsp. apii (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN14355770	9940904	9940904	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/635/GCF_011516635.5_ASM1151663v5
GCF_011516625.4	ASM1151662v4	Bradyrhizobium sp. 2S1 (a-proteobacteria)	Contig	PRJNA224116	SAMN14360511	10825806	10825806	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/516/625/GCF_011516625.4_ASM1151662v4
GCF_023101685.1	ASM2310168v1	Bradyrhizobium sp. 186 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538610	10413025	10413025	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/685/GCF_023101685.1_ASM2310168v1
GCF_023101665.1	ASM2310166v1	Bradyrhizobium sp. 195 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538618	8314481	8314481	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/665/GCF_023101665.1_ASM2310166v1
GCF_023101125.1	ASM2310112v1	Bradyrhizobium sp. 131 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538565	7951580	7951580	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/125/GCF_023101125.1_ASM2310112v1
GCF_023101105.1	ASM2310110v1	Bradyrhizobium sp. 155 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538585	7875792	7875792	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/105/GCF_023101105.1_ASM2310110v1
GCF_023101085.1	ASM2310108v1	Bradyrhizobium sp. 170 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538597	9195219	9195219	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/085/GCF_023101085.1_ASM2310108v1
GCF_023101065.1	ASM2310106v1	Bradyrhizobium sp. 172 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538599	8158300	8158300	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/065/GCF_023101065.1_ASM2310106v1
GCF_023101045.1	ASM2310104v1	Bradyrhizobium sp. 183 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538608	8176129	8176129	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/045/GCF_023101045.1_ASM2310104v1
GCF_023101025.1	ASM2310102v1	Bradyrhizobium sp. 184 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538609	8178443	8178443	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/025/GCF_023101025.1_ASM2310102v1
GCF_023101005.1	ASM2310100v1	Bradyrhizobium sp. 187 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538611	7737859	7737859	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/101/005/GCF_023101005.1_ASM2310100v1
GCF_023100985.1	ASM2310098v1	Bradyrhizobium sp. 191 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538615	8312872	8312872	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/985/GCF_023100985.1_ASM2310098v1
GCF_023100965.1	ASM2310096v1	Bradyrhizobium sp. 192 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538616	8194174	8194174	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/965/GCF_023100965.1_ASM2310096v1
GCF_023100945.1	ASM2310094v1	Bradyrhizobium sp. 200 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538622	9494728	9494728	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/945/GCF_023100945.1_ASM2310094v1
GCF_023100925.1	ASM2310092v1	Bradyrhizobium sp. 40 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538632	7471060	7471060	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/925/GCF_023100925.1_ASM2310092v1
GCF_023100905.1	ASM2310090v1	Bradyrhizobium sp. 4 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538637	7797172	7797172	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/905/GCF_023100905.1_ASM2310090v1
GCF_023100665.1	ASM2310066v1	Bradyrhizobium sp. CW1 (a-proteobacteria)	Complete Genome	PRJNA224116	SAMN16538646	8282742	8282742	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/100/665/GCF_023100665.1_ASM2310066v1
GCF_023074175.1	ASM2307417v1	Bradyrhizobium sp. 139 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538572	127501	127501	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/175/GCF_023074175.1_ASM2307417v1
GCF_023074185.1	ASM2307418v1	Bradyrhizobium sp. 132 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538566	133935	133935	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/185/GCF_023074185.1_ASM2307418v1
GCF_023074155.1	ASM2307415v1	Bradyrhizobium sp. 134 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538567	714029	714029	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/155/GCF_023074155.1_ASM2307415v1
GCF_023074135.1	ASM2307413v1	Bradyrhizobium sp. 136 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538569	191636	191636	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/135/GCF_023074135.1_ASM2307413v1
GCF_023074115.1	ASM2307411v1	Bradyrhizobium sp. 135 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538568	788589	788589	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/115/GCF_023074115.1_ASM2307411v1
GCF_023074095.1	ASM2307409v1	Bradyrhizobium sp. 137 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538570	186073	186073	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/095/GCF_023074095.1_ASM2307409v1
GCF_023074075.1	ASM2307407v1	Bradyrhizobium sp. 138 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538571	269402	269402	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/075/GCF_023074075.1_ASM2307407v1
GCF_023074055.1	ASM2307405v1	Bradyrhizobium sp. 141 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538573	224722	224722	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/055/GCF_023074055.1_ASM2307405v1
GCF_023074035.1	ASM2307403v1	Bradyrhizobium sp. 143 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538575	52087	52087	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/035/GCF_023074035.1_ASM2307403v1
GCF_023074015.1	ASM2307401v1	Bradyrhizobium sp. 142 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538574	49478	49478	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/074/015/GCF_023074015.1_ASM2307401v1
GCF_023073995.1	ASM2307399v1	Bradyrhizobium sp. 144 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538576	409100	409100	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/995/GCF_023073995.1_ASM2307399v1
GCF_023073965.1	ASM2307396v1	Bradyrhizobium sp. 146 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538578	237015	237015	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/965/GCF_023073965.1_ASM2307396v1
GCF_023073955.1	ASM2307395v1	Bradyrhizobium sp. 145 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538577	185181	185181	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/955/GCF_023073955.1_ASM2307395v1
GCF_023073935.1	ASM2307393v1	Bradyrhizobium sp. 147 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538579	151093	151093	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/935/GCF_023073935.1_ASM2307393v1
GCF_023073915.1	ASM2307391v1	Bradyrhizobium sp. 149 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538580	774838	774838	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/915/GCF_023073915.1_ASM2307391v1
GCF_023073895.1	ASM2307389v1	Bradyrhizobium sp. 150 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538581	352316	352316	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/895/GCF_023073895.1_ASM2307389v1
GCF_023073875.1	ASM2307387v1	Bradyrhizobium sp. 154 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538584	178186	178186	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/875/GCF_023073875.1_ASM2307387v1
GCF_023073845.1	ASM2307384v1	Bradyrhizobium sp. 151 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538582	206749	206749	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/845/GCF_023073845.1_ASM2307384v1
GCF_023073835.1	ASM2307383v1	Bradyrhizobium sp. 153 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538583	169821	169821	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/835/GCF_023073835.1_ASM2307383v1
GCF_023073815.1	ASM2307381v1	Bradyrhizobium sp. 157 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538587	135072	135072	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/815/GCF_023073815.1_ASM2307381v1
GCF_023073795.1	ASM2307379v1	Bradyrhizobium sp. 159 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538588	158436	158436	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/795/GCF_023073795.1_ASM2307379v1
GCF_023073775.1	ASM2307377v1	Bradyrhizobium sp. 162 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538591	200119	200119	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/775/GCF_023073775.1_ASM2307377v1
GCF_023073755.1	ASM2307375v1	Bradyrhizobium sp. 163 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538592	180086	180086	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/755/GCF_023073755.1_ASM2307375v1
GCF_023073735.1	ASM2307373v1	Bradyrhizobium sp. 160 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538590	398142	398142	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/735/GCF_023073735.1_ASM2307373v1
GCF_023073715.1	ASM2307371v1	Bradyrhizobium sp. 164 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538593	257441	257441	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/715/GCF_023073715.1_ASM2307371v1
GCF_023073695.1	ASM2307369v1	Bradyrhizobium sp. 166 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538594	207010	207010	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/695/GCF_023073695.1_ASM2307369v1
GCF_023073675.1	ASM2307367v1	Bradyrhizobium sp. 169 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538596	213337	213337	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/675/GCF_023073675.1_ASM2307367v1
GCF_023073655.1	ASM2307365v1	Bradyrhizobium sp. 168 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538595	236544	252237	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/655/GCF_023073655.1_ASM2307365v1
GCF_023073625.1	ASM2307362v1	Bradyrhizobium sp. 173 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538600	402355	402355	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/625/GCF_023073625.1_ASM2307362v1
GCF_023073615.1	ASM2307361v1	Bradyrhizobium sp. 171 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538598	297499	297499	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/615/GCF_023073615.1_ASM2307361v1
GCF_023073595.1	ASM2307359v1	Bradyrhizobium sp. 174 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538601	385165	385165	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/595/GCF_023073595.1_ASM2307359v1
GCF_023073575.1	ASM2307357v1	Bradyrhizobium sp. 176 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538602	277044	277044	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/575/GCF_023073575.1_ASM2307357v1
GCF_023073555.1	ASM2307355v1	Bradyrhizobium sp. 177 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538603	213788	213788	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/555/GCF_023073555.1_ASM2307355v1
GCF_023073535.1	ASM2307353v1	Bradyrhizobium sp. 179 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538604	150377	150377	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/535/GCF_023073535.1_ASM2307353v1
GCF_023073515.1	ASM2307351v1	Bradyrhizobium sp. 17 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538605	132393	303034	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/515/GCF_023073515.1_ASM2307351v1
GCF_023073495.1	ASM2307349v1	Bradyrhizobium sp. 180 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538606	190909	190909	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/495/GCF_023073495.1_ASM2307349v1
GCF_023073475.1	ASM2307347v1	Bradyrhizobium sp. 182 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538607	197485	197485	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/475/GCF_023073475.1_ASM2307347v1
GCF_023073445.1	ASM2307344v1	Bradyrhizobium sp. 188 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538612	302675	302675	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/445/GCF_023073445.1_ASM2307344v1
GCF_023073435.1	ASM2307343v1	Bradyrhizobium sp. 18 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538613	278491	278491	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/435/GCF_023073435.1_ASM2307343v1
GCF_023073415.1	ASM2307341v1	Bradyrhizobium sp. 190 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538614	348899	348899	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/415/GCF_023073415.1_ASM2307341v1
GCF_023073395.1	ASM2307339v1	Bradyrhizobium sp. 193 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538617	323444	323444	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/395/GCF_023073395.1_ASM2307339v1
GCF_023073375.1	ASM2307337v1	Bradyrhizobium sp. 197 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538619	162945	162945	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/375/GCF_023073375.1_ASM2307337v1
GCF_023073355.1	ASM2307335v1	Bradyrhizobium sp. 199 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538620	1499809	1499809	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/355/GCF_023073355.1_ASM2307335v1
GCF_023073335.1	ASM2307333v1	Bradyrhizobium sp. 21 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538623	148326	470136	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/335/GCF_023073335.1_ASM2307333v1
GCF_023073315.1	ASM2307331v1	Bradyrhizobium sp. 1 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538621	127470	620653	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/315/GCF_023073315.1_ASM2307331v1
GCF_023073295.1	ASM2307329v1	Bradyrhizobium sp. 23 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538624	22281	258448	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/295/GCF_023073295.1_ASM2307329v1
GCF_023073255.1	ASM2307325v1	Bradyrhizobium sp. 30 (a-proteobacteria)	Contig	PRJNA224116	SAMN16538627	361384	361384	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/255/GCF_023073255.1_ASM2307325v1
GCF_023073235.1	ASM2307323v1	Bradyrhizobium sp. 37 (a-proteobacteria)	Scaffold	PRJNA224116	SAMN16538629	580721	580721	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/023/073/235/GCF_023073235.1_ASM2307323v1
